Unit,Year,Directly Aligned,Stepping Stone,Pays the Bills,N
Philip Merrill College of Journalism,2022,68,30,2,63
"School of Architecture, Planning, and Preservation",2022,62,29,9,34
School of Public Health,2022,31,54,15,83
School of Public Policy,2022,64,36,0,22
The Robert H. Smith School of Business,2022,60,38,2,520
College Park Scholars,2022,62,36,2,213
Honors College,2022,57,39,4,254
Letters and Sciences,2022,53,40,7,486
Undergraduate Studies,2022,,,,
University-Wide,2023,53,43,4,"1,565"
College of Agriculture and Natural Resources,2023,50,48,2,52
College of Arts and Humanities,2023,49,43,8,143
College of Behavioral and Social Sciences,2023,43,50,7,234
"College of Computer, Mathematical, and Natural Sciences",2023,62,35,3,273
College of Education,2023,72,24,4,25
College of Information,2023,56,40,4,77
The A. James Clark School of Engineering,2023,66,33,1,223
Philip Merrill College of Journalism,2023,56,36,8,25
"School of Architecture, Planning, and Preservation",2023,80,20,0,20
School of Public Health,2023,31,64,5,55
School of Public Policy,2023,54,46,0,13
The Robert H. Smith School of Business,2023,50,49,1,537
College Park Scholars,2023,53,45,2,182
Honors College,2023,61,36,3,192
Letters and Sciences,2023,53,43,4,440
Undergraduate Studies,2023,,,,
University-Wide,2024,56,39,5,"1,751"
College of Agriculture and Natural Resources,2024,49,43,8,53
College of Arts and Humanities,2024,50,42,8,144
College of Behavioral and Social Sciences,2024,41,47,12,249
"College of Computer, Mathematical, and Natural Sciences",2024,69,29,2,415
College of Education,2024,85,15,0,33
College of Information,2024,60,36,4,86
The A. James Clark School of Engineering,2024,63,34,3,243
Philip Merrill College of Journalism,2024,59,32,9,34
"School of Architecture, Planning, and Preservation",2024,59,41,0,22
School of Public Health,2024,39,55,6,64
School of Public Policy,2024,67,27,6,15
The Robert H. Smith School of Business,2024,52,46,2,497
College Park Scholars,2024,53,45,2,213
Honors College,2024,58,39,3,204
Letters and Sciences,2024,53,42,5,495
Undergraduate Studies,2024,,,,
